"ref_id"	"ref_name"	"ref_description"	"ref_ncbi_accession"	"ref_ncbi_query"	"ref_ncbi_query_max"	"ref_primary_usage"	"ref_contextual_usage"	"ref_color_by"
"GCF_003627155_1"	"Streptococcus gwangjuense"	"Streptococcus gwangjuense (GCF_003627155.1; T; RS)"	"GCF_003627155.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_001437055_1"	"Limosilactobacillus secaliphilus"	"Limosilactobacillus secaliphilus (GCF_001437055.1; T; RS)"	"GCF_001437055.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000940995_1"	"Photobacterium gaetbulicola Gung47"	"Photobacterium gaetbulicola (GCF_000940995.1; T; RS)"	"GCF_000940995.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_024029355_1"	"Fructilactobacillus cliffordii"	"Fructilactobacillus cliffordii (GCF_024029355.1; T; RS)"	"GCF_024029355.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_014202895_1"	"Lactovum miscens"	"Lactovum miscens (GCF_014202895.1; T; RS)"	"GCF_014202895.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_008326545_1"	"Leuconostoc citreum"	"Leuconostoc citreum (GCF_008326545.1; T; RS)"	"GCF_008326545.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_006385165_1"	"Streptococcus symci"	"Streptococcus symci (GCF_006385165.1; T; RS)"	"GCF_006385165.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_024029675_1"	"Fructilactobacillus carniphilus"	"Fructilactobacillus carniphilus (GCF_024029675.1; T; RS)"	"GCF_024029675.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_002217925_1"	"Secundilactobacillus mixtipabuli"	"Secundilactobacillus mixtipabuli (GCF_002217925.1; T; RS)"	"GCF_002217925.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_002278095_1"	"Lactobacillus delbrueckii subsp. lactis DSM 20072"	"Lactobacillus delbrueckii (GCF_002278095.1; T; RS)"	"GCF_002278095.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_024346755_1"	"Vibrio aerogenes"	"Vibrio aerogenes (GCF_024346755.1; T; RS)"	"GCF_024346755.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_018987235_1"	"Lactobacillus crispatus"	"Lactobacillus crispatus (GCF_018987235.1; T; RS)"	"GCF_018987235.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000785105_2"	"Lentilactobacillus curieae"	"Lentilactobacillus curieae (GCF_000785105.2; T; RS)"	"GCF_000785105.2"	"null"	"null"	"optional"	"optional"	"null"
"GCF_005341425_1"	"Limosilactobacillus fermentum"	"Limosilactobacillus fermentum (GCF_005341425.1; T; RS)"	"GCF_005341425.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_039830095_1"	"Dolosigranulum savutiense"	"Dolosigranulum savutiense (GCF_039830095.1; T; RS)"	"GCF_039830095.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_018314255_1"	"Lentilactobacillus buchneri"	"Lentilactobacillus buchneri (GCF_018314255.1; T; RS)"	"GCF_018314255.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_001457635_1"	"Streptococcus pneumoniae"	"Streptococcus pneumoniae (GCF_001457635.1; T; RS)"	"GCF_001457635.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_000766055_1"	"Listeriaceae bacterium FSL A5-0209"	"Listeriaceae bacterium (GCF_000766055.1; RS)"	"GCF_000766055.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_042466515_1"	"Streptomyces iranensis"	"Streptomyces iranensis (GCF_042466515.1; T; RS)"	"GCF_042466515.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_030770265_1"	"Lacticaseibacillus parahuelsenbergensis"	"Lacticaseibacillus parahuelsenbergensis (GCF_030770265.1; T; RS)"	"GCF_030770265.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_016756395_1"	"Actinacidiphila reveromycinica"	"Actinacidiphila reveromycinica (GCF_016756395.1; T; RS)"	"GCF_016756395.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_036884295_1"	"Brochothrix thermosphacta DSM 20171 = FSL F6-1036"	"Brochothrix thermosphacta (GCF_036884295.1; T; RS)"	"GCF_036884295.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_900187225_1"	"Listeria monocytogenes"	"Listeria monocytogenes (GCF_900187225.1; T; RS)"	"GCF_900187225.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_002706705_1"	"Loigolactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535"	"Loigolactobacillus coryniformis (GCF_002706705.1; T; RS)"	"GCF_002706705.1"	"null"	"null"	"optional"	"optional"	"null"
"GCF_006385785_1"	"Streptococcus shenyangsis"	"Streptococcus shenyangsis (GCF_006385785.1; T; RS)"	"GCF_006385785.1"	"null"	"null"	"optional"	"optional"	"null"
