ref_id	ref_name	ref_description	ref_path	ref_ncbi_accession	ref_ncbi_query	ref_ncbi_query_max	ref_primary_usage	ref_contextual_usage	ref_color_by
GCF_025150565_1	Granulicatella adiacens ATCC 49175	Granulicatella adiacens (GCF_025150565.1; T; RS)		GCF_025150565.1			optional	optional	
GCF_005341425_1	Limosilactobacillus fermentum	Limosilactobacillus fermentum (GCF_005341425.1; T; RS)		GCF_005341425.1			optional	optional	
GCF_020735385_1	Granulicatella elegans	Granulicatella elegans (GCF_020735385.1; T; RS)		GCF_020735385.1			optional	optional	
GCF_024543085_1	Granulicatella seriolae	Granulicatella seriolae (GCF_024543085.1; T; RS)		GCF_024543085.1			optional	optional	
GCF_900111135_1	Granulicatella balaenopterae	Granulicatella balaenopterae (GCF_900111135.1; T; RS)		GCF_900111135.1			optional	optional	
GCF_018987235_1	Lactobacillus crispatus	Lactobacillus crispatus (GCF_018987235.1; T; RS)		GCF_018987235.1			optional	optional	
GCF_002706375_1	Lactobacillus amylovorus DSM 20531	Lactobacillus amylovorus (GCF_002706375.1; T; RS)		GCF_002706375.1			optional	optional	
GCF_002278095_1	Lactobacillus delbrueckii subsp. lactis DSM 20072	Lactobacillus delbrueckii (GCF_002278095.1; T; RS)		GCF_002278095.1			optional	optional	
GCF_018314255_1	Lentilactobacillus buchneri	Lentilactobacillus buchneri (GCF_018314255.1; T; RS)		GCF_018314255.1			optional	optional	
GCF_000785105_2	Lentilactobacillus curieae	Lentilactobacillus curieae (GCF_000785105.2; T; RS)		GCF_000785105.2			optional	optional	
GCF_026913205_2	Lentilactobacillus terminaliae	Lentilactobacillus terminaliae (GCF_026913205.2; T; RS)		GCF_026913205.2			optional	optional	
GCF_000010005_1	Limosilactobacillus reuteri subsp. reuteri JCM 1112	Limosilactobacillus reuteri (GCF_000010005.1; T; RS)		GCF_000010005.1			optional	optional	
GCF_043386705_1	Limosilactobacillus mucosae	Limosilactobacillus mucosae (GCF_043386705.1; T; RS)		GCF_043386705.1			optional	optional	
GCF_001437055_1	Limosilactobacillus secaliphilus	Limosilactobacillus secaliphilus (GCF_001437055.1; T; RS)		GCF_001437055.1			optional	optional	
GCF_900475715_1	Streptococcus gallolyticus	Streptococcus gallolyticus (GCF_900475715.1; T; RS)		GCF_900475715.1			optional	optional	
GCF_003086355_1	Streptococcus chenjunshii	Streptococcus chenjunshii (GCF_003086355.1; T; RS)		GCF_003086355.1			optional	optional	
GCF_900187085_1	Streptococcus merionis	Streptococcus merionis (GCF_900187085.1; T; RS)		GCF_900187085.1			optional	optional	
GCF_024298965_1	Streptomyces rapamycinicus NRRL 5491	Streptomyces rapamycinicus (GCF_024298965.1; T; RS)		GCF_024298965.1			optional	optional	
GCF_042466515_1	Streptomyces iranensis	Streptomyces iranensis (GCF_042466515.1; T; RS)		GCF_042466515.1			optional	optional	
GCF_015689475_1	Streptomyces solisilvae	Streptomyces solisilvae (GCF_015689475.1; T; RS)		GCF_015689475.1			optional	optional	
GCF_003955755_1	Jeotgalibaca ciconiae	Jeotgalibaca ciconiae (GCF_003955755.1; T; RS)		GCF_003955755.1			optional	optional	
GCF_000493735_1	Carnobacterium inhibens subsp. gilichinskyi	Carnobacterium inhibens (GCF_000493735.1; T; RS)		GCF_000493735.1			optional	optional	
GCF_039830095_1	Dolosigranulum savutiense	Dolosigranulum savutiense (GCF_039830095.1; T; RS)		GCF_039830095.1			optional	optional	
GCF_003641185_1	Lactiplantibacillus pentosus	Lactiplantibacillus pentosus (GCF_003641185.1; T; RS)		GCF_003641185.1			optional	optional	
GCF_030770295_1	Lacticaseibacillus styriensis	Lacticaseibacillus styriensis (GCF_030770295.1; T; RS)		GCF_030770295.1			optional	optional	
GCF_004358325_1	Periweissella cryptocerci	Periweissella cryptocerci (GCF_004358325.1; T; RS)		GCF_004358325.1			optional	optional	
GCF_006965445_1	Lactococcus protaetiae	Lactococcus protaetiae (GCF_006965445.1; T; RS)		GCF_006965445.1			optional	optional	
GCF_014202895_1	Lactovum miscens	Lactovum miscens (GCF_014202895.1; T; RS)		GCF_014202895.1			optional	optional	
GCF_001832905_1	Floricoccus tropicus	Floricoccus tropicus (GCF_001832905.1; T; RS)		GCF_001832905.1			optional	optional	
GCF_027627435_1	Kitasatospora cathayae	Kitasatospora cathayae (GCF_027627435.1; T; RS)		GCF_027627435.1			optional	optional	
GCF_016756395_1	Actinacidiphila reveromycinica	Actinacidiphila reveromycinica (GCF_016756395.1; T; RS)		GCF_016756395.1			optional	optional	
GCF_003258605_2	Peterkaempfera bronchialis	Peterkaempfera bronchialis (GCF_003258605.2; T; RS)		GCF_003258605.2			optional	optional	
