ref_id	ref_name	ref_description	ref_path	ref_ncbi_accession	ref_ncbi_query	ref_ncbi_query_max	ref_primary_usage	ref_contextual_usage	ref_color_by
GCF_000014445_1	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	Leuconostoc mesenteroides (GCF_000014445.1; T; RS)		GCF_000014445.1			optional	optional	
GCF_016127255_1	Leuconostoc pseudomesenteroides	Leuconostoc pseudomesenteroides (GCF_016127255.1; T; RS)		GCF_016127255.1			optional	optional	
GCF_001891125_1	Leuconostoc suionicum	Leuconostoc suionicum (GCF_001891125.1; T; RS)		GCF_001891125.1			optional	optional	
GCF_006965445_1	Lactococcus protaetiae	Lactococcus protaetiae (GCF_006965445.1; T; RS)		GCF_006965445.1			optional	optional	
GCF_003627095_1	Lactococcus allomyrinae	Lactococcus allomyrinae (GCF_003627095.1; T; RS)		GCF_003627095.1			optional	optional	
GCF_029023865_1	Lactococcus lactis	Lactococcus lactis (GCF_029023865.1; T; RS)		GCF_029023865.1			optional	optional	
GCF_018314255_1	Lentilactobacillus buchneri	Lentilactobacillus buchneri (GCF_018314255.1; T; RS)		GCF_018314255.1			optional	optional	
GCF_000785105_2	Lentilactobacillus curieae	Lentilactobacillus curieae (GCF_000785105.2; T; RS)		GCF_000785105.2			optional	optional	
GCF_026913205_2	Lentilactobacillus terminaliae	Lentilactobacillus terminaliae (GCF_026913205.2; T; RS)		GCF_026913205.2			optional	optional	
GCF_000092505_1	Leuconostoc kimchii IMSNU 11154	Leuconostoc kimchii (GCF_000092505.1; T; RS)		GCF_000092505.1			optional	optional	
GCF_000196855_1	Leuconostoc gasicomitatum LMG 18811	Leuconostoc gasicomitatum (GCF_000196855.1; T; RS)		GCF_000196855.1			optional	optional	
GCF_008326545_1	Leuconostoc citreum	Leuconostoc citreum (GCF_008326545.1; T; RS)		GCF_008326545.1			optional	optional	
GCF_001932615_1	Weissella jogaejeotgali	Weissella jogaejeotgali (GCF_001932615.1; T; RS)		GCF_001932615.1			optional	optional	
GCF_001761545_1	Weissella soli	Weissella soli (GCF_001761545.1; T; RS)		GCF_001761545.1			optional	optional	
GCF_014397255_1	Weissella diestrammenae	Weissella diestrammenae (GCF_014397255.1; T; RS)		GCF_014397255.1			optional	optional	
GCF_003641185_1	Lactiplantibacillus pentosus	Lactiplantibacillus pentosus (GCF_003641185.1; T; RS)		GCF_003641185.1			optional	optional	
GCF_030770295_1	Lacticaseibacillus styriensis	Lacticaseibacillus styriensis (GCF_030770295.1; T; RS)		GCF_030770295.1			optional	optional	
GCF_004358325_1	Periweissella cryptocerci	Periweissella cryptocerci (GCF_004358325.1; T; RS)		GCF_004358325.1			optional	optional	
GCF_900475715_1	Streptococcus gallolyticus	Streptococcus gallolyticus (GCF_900475715.1; T; RS)		GCF_900475715.1			optional	optional	
GCF_014202895_1	Lactovum miscens	Lactovum miscens (GCF_014202895.1; T; RS)		GCF_014202895.1			optional	optional	
GCF_001832905_1	Floricoccus tropicus	Floricoccus tropicus (GCF_001832905.1; T; RS)		GCF_001832905.1			optional	optional	
