ref_id	ref_name	ref_description	ref_path	ref_ncbi_accession	ref_ncbi_query	ref_ncbi_query_max	ref_primary_usage	ref_contextual_usage	ref_color_by
GCF_902362235_1	Lactobacillaceae bacterium	Lactobacillaceae bacterium (GCF_902362235.1; RS)		GCF_902362235.1			optional	optional	
GCF_000010005_1	Limosilactobacillus reuteri subsp. reuteri JCM 1112	Limosilactobacillus reuteri (GCF_000010005.1; T; RS)		GCF_000010005.1			optional	optional	
GCF_018987235_1	Lactobacillus crispatus	Lactobacillus crispatus (GCF_018987235.1; T; RS)		GCF_018987235.1			optional	optional	
GCF_002706375_1	Lactobacillus amylovorus DSM 20531	Lactobacillus amylovorus (GCF_002706375.1; T; RS)		GCF_002706375.1			optional	optional	
GCF_002278095_1	Lactobacillus delbrueckii subsp. lactis DSM 20072	Lactobacillus delbrueckii (GCF_002278095.1; T; RS)		GCF_002278095.1			optional	optional	
GCF_043386705_1	Limosilactobacillus mucosae	Limosilactobacillus mucosae (GCF_043386705.1; T; RS)		GCF_043386705.1			optional	optional	
GCF_005341425_1	Limosilactobacillus fermentum	Limosilactobacillus fermentum (GCF_005341425.1; T; RS)		GCF_005341425.1			optional	optional	
GCF_001437055_1	Limosilactobacillus secaliphilus	Limosilactobacillus secaliphilus (GCF_001437055.1; T; RS)		GCF_001437055.1			optional	optional	
GCF_003641185_1	Lactiplantibacillus pentosus	Lactiplantibacillus pentosus (GCF_003641185.1; T; RS)		GCF_003641185.1			optional	optional	
GCF_030770295_1	Lacticaseibacillus styriensis	Lacticaseibacillus styriensis (GCF_030770295.1; T; RS)		GCF_030770295.1			optional	optional	
GCF_004358325_1	Periweissella cryptocerci	Periweissella cryptocerci (GCF_004358325.1; T; RS)		GCF_004358325.1			optional	optional	
