
Query: SRR9047313_1.fastq.gz	DB: RefSeq	SketchLen: 18860	Seqs: 320303 	Bases: 44842420	gSize: 2047179	GC: 0.399	Quality: 0.9721	AvgCount: 16.376	Depth: 16.376	File: SRR9047313_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
56.43%	50.71%	97.95%	.	0	83.77%	24.72%	0.98%	7.33%	7959	0.00e+00	17.27	16.25	165.2	10.78	9564	216	4192	7287	2737	18860	1358027	-1	2145445	2145414	2045769	1	0.388	16948	18860	16948	18860	4663	Limosilactobacillus reuteri TD1	.	tid|1358027|NC_021872.1 Lactobacillus reuteri TD1, complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus reuteri
35.78%	31.82%	96.34%	.	0	62.42%	44.48%	39.32%	8.39%	3249	0.00e+00	17.44	17.29	104.7	15.31	6002	35	78	154	2816	18860	2042037	-1	2028849	2021254	1994367	245	0.389	16777	18860	16777	18860	8388	Lactobacillus sp. UMNPBX10	.	tid|2042037|NZ_PCZL01000222.1 Lactobacillus sp. UMNPBX10 NODE_224_length_330_cov_70.1055, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX10
35.16%	31.57%	96.28%	.	0	62.59%	43.79%	38.98%	8.37%	3235	0.00e+00	17.66	17.47	105.2	15.45	5955	19	64	154	2736	18860	2042029	-1	2099290	2088626	2046192	344	0.384	16938	18860	16938	18860	8258	Lactobacillus sp. UMNPBX18	.	tid|2042029|NZ_PCYS01000260.1 Lactobacillus sp. UMNPBX18 NODE_260_length_574_cov_101.191, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX18
35.27%	31.39%	96.29%	.	0	62.02%	44.81%	39.28%	8.57%	3173	0.00e+00	17.56	17.17	103.9	15.55	5920	1	43	154	2803	18860	2042040	-1	2030867	2025866	1998589	156	0.388	16783	18860	16783	18860	8451	Lactobacillus sp. UMNPBX7	.	tid|2042040|NZ_PCZC01000010.1 Lactobacillus sp. UMNPBX7 SNF2W3B2M2S3111_91_84, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX7
35.07%	31.28%	96.27%	.	0	62.06%	44.65%	39.20%	8.55%	3165	0.00e+00	17.68	17.48	104.3	15.62	5899	0	41	154	2774	18860	2042034	-1	2042145	2034705	2012208	240	0.388	16822	18860	16822	18860	8421	Lactobacillus sp. UMNPBX13	.	tid|2042034|NZ_PCYX01000211.1 Lactobacillus sp. UMNPBX13 NODE_211_length_358_cov_39.9901, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX13
34.92%	31.28%	96.26%	.	0	62.00%	44.46%	44.46%	8.52%	3153	0.00e+00	17.76	16.46	104.7	15.44	5899	0	0	0	2758	18860	2291323	-1	2316838	2316651	2028533	5	0.390	16895	18860	16895	18860	8385	Lactobacillaceae bacterium	.	tid|2291323|NZ_CABKON010000002.1 Lactobacillaceae bacterium isolate MGYG-HGUT-01336, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;s:Lactobacillaceae bacterium
34.69%	30.97%	96.23%	.	0	61.50%	45.08%	39.22%	8.50%	3117	0.00e+00	17.57	17.26	102.6	15.34	5841	11	43	154	2782	18860	2042044	-1	2063024	2057446	2009670	167	0.387	16840	18860	16840	18860	8503	Lactobacillus sp. UMNPBX3	.	tid|2042044|NZ_PCZG01000025.1 Lactobacillus sp. UMNPBX3 MOF2W3B1C8S14128_90_79, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX3
0.74%	0.64%	83.66%	.	0	26.97%	76.79%	1.16%	8.80%	96.16	0.00e+00	45.09	21.59	5.411	54.49	120	1	7	7287	3873	18860	1423814	-1	3664800	3582165	1798535	261	0.405	16231	18860	16231	18860	14482	Limosilactobacillus vaginalis DSM 5837 = ATCC 49540	.	tid|1423814|NZ_AZGL01000140.1 Lactobacillus vaginalis DSM 5837 = ATCC 49540 strain DSM 5837 Scaffold140, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus vaginalis
0.69%	0.58%	83.47%	.	0	27.70%	76.86%	1.18%	8.82%	91.25	0.00e+00	46.22	43.15	5.038	50.96	109	0	16	7287	4255	18860	1423746	-1	1733578	1732690	1709451	26	0.426	15755	18860	15960	18860	14496	Limosilactobacillus frumenti DSM 13145	.	tid|1423746|NZ_AZER01000002.1 Lactobacillus frumenti DSM 13145 NODE_6, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus frumenti
0.46%	0.41%	82.14%	.	0	27.03%	75.86%	1.04%	8.58%	72.88	0.00e+00	42.01	18.68	3.235	64.23	77	0	2	7287	2813	18860	1423782	-1	4089301	4077256	2002872	369	0.480	16842	18860	16842	18860	14308	Limosilactobacillus panis DSM 6035	.	tid|1423782|NZ_AZGM01000026.1 Lactobacillus panis DSM 6035 NODE_50, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus panis
