
Query: SRR22981583_1.fastq.gz	DB: RefSeq	SketchLen: 22397	Seqs: 244661 	Bases: 35392241	gSize: 2034977	GC: 0.470	Quality: 0.8879	AvgCount: 12.657	Depth: 12.657	File: SRR22981583_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
63.33%	44.82%	98.36%	.	0	100%	18.23%	1.16%	8.19%	7987	0.00e+00	11.48	9.303	115.3	10.89	10039	416	1322	3894	5029	22397	1318629	-1	1815647	1791727	1684173	250	0.526	15853	22397	15853	22397	4083	Limosilactobacillus fermentum Lf1	.	tid|1318629|NZ_AWXS01000012.1 Lactobacillus fermentum Lf1 Contig12, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus fermentum
58.17%	42.95%	98.05%	.	0	100%	16.21%	15.41%	7.97%	7045	0.00e+00	10.68	10.64	102.8	11.28	9620	16	16	27	4360	22397	1581062	-1	1914489	1909498	1909498	110	0.524	16538	22397	16538	22397	3630	Lactobacillus sp. HMSC24D01	.	tid|1581062|NZ_KV789671.1 Lactobacillus sp. HMSC24D01 Scaffold104, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. HMSC24D01
2.19%	1.54%	87.04%	.	0	54.90%	61.57%	1.19%	10.00%	221.7	0.00e+00	29.79	29.41	10.25	26.58	344	18	81	3894	5629	22397	1450649	-1	1641621	1639602	1613889	63	0.481	15678	22397	15678	22397	13790	Limosilactobacillus gorillae	.	tid|1450649|NZ_BCAH01000009.1 Lactobacillus gorillae strain KZ01, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus gorillae
0.32%	0.31%	82.25%	.	0	64.71%	32.80%	0.51%	6.26%	98.42	0.00e+00	34.51	18.51	2.450	48.94	71	0	6	3894	1581	23260	97478	-1	20411K	20381K	5276745	397	0.467	23260	22397	23260	22397	7346	Limosilactobacillus mucosae	.	tid|97478|NZ_CABFNH010000015.1 Lactobacillus mucosae strain INIA P508 isolate INIA P508, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus mucosae
0.44%	0.33%	81.96%	.	0	56.78%	57.61%	1.09%	7.92%	77.11	0.00e+00	98.96	98.46	7.224	57.62	73	0	8	3894	4230	22397	1203076	-1	2013830	1978404	1978404	8	0.509	16721	22397	16721	22397	12903	Limosilactobacillus ingluviei str. Autruche 4	.	tid|1203076|NZ_HE997174.1 Lactobacillus ingluviei str. Autruche 4, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus ingluviei
0.43%	0.31%	82.01%	.	0	54.33%	60.32%	1.15%	8.26%	71.96	0.00e+00	20.26	19.89	1.418	53.34	70	0	4	3894	4601	22397	1423749	-1	1848461	1845537	1831651	66	0.416	16356	22397	16356	22397	13510	Limosilactobacillus gastricus DSM 16045	.	tid|1423749|NZ_AZFN01000062.1 Lactobacillus gastricus DSM 16045 Scaffold62, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus gastricus
0.30%	0.24%	81.00%	.	0	59.41%	53.71%	1.06%	7.72%	65.15	0.00e+00	37.68	18.54	1.997	72.15	53	0	3	3894	3838	22397	525309	-1	4544733	4478913	2224769	112	0.511	17451	22397	17451	22397	12030	Limosilactobacillus antri DSM 16041	.	tid|525309|NZ_GG700746.1 Lactobacillus antri DSM 16041 SCAFFOLD15, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus antri
0.41%	0.29%	81.84%	.	0	53.32%	62.83%	1.19%	10.08%	65.12	0.00e+00	69.33	34.77	4.437	70.02	64	1	2	3894	5771	22397	1970790	-1	1678325	1675216	1595932	16	0.468	15615	22397	15615	22397	14071	[Lactobacillus] timonensis	.	tid|1970790|NZ_LT964761.1 Lactobacillus timonensis strain Marseille-P3825, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:[Lactobacillus] timonensis
0.28%	0.22%	80.79%	.	0	60.33%	52.96%	1.05%	7.68%	62.59	0.00e+00	79.63	74.23	3.902	73.69	49	0	4	3894	3748	22397	1633	-1	3774584	3770740	2262622	124	0.406	17461	22397	17461	22397	11862	Limosilactobacillus vaginalis	.	tid|1633|NZ_CP045240.1 Lactobacillus vaginalis strain LV515 chromosome, complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus vaginalis
0.68%	0.67%	84.60%	.	0	65.20%	33.34%	33.18%	6.31%	61.71	0.00e+00	157.7	131.2	24.13	36.71	153	0	0	9	1659	22898	152331	-1	61207K	61144K	5033115	1779	0.434	22898	22397	22898	22397	7468	Lentilactobacillus parabuchneri	.	tid|152331|NZ_LXIA01000001.1 Lactobacillus parabuchneri strain IPLA 11122 NODE_10, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lentilactobacillus;s:Lentilactobacillus parabuchneri
