
Query: SRR31459783_1.fastq.gz	DB: RefSeq	SketchLen: 21644	Seqs: 127597 	Bases: 30593525	gSize: 2699726	GC: 0.363	Quality: 0.9556	AvgCount: 9.199	Depth: 9.198	File: SRR31459783_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
77.81%	67.35%	99.12%	.	0	100%	6.62%	0.12%	4.49%	15766	0.00e+00	9.150	9.045	133.4	15.63	14577	1537	14101	15494	2240	21644	386043	-1	2814130	2814099	2764358	1	0.364	18734	21644	18734	21644	1432	Listeria welshimeri serovar 6b str. SLCC5334	.	tid|386043|NC_008555.1 Listeria welshimeri serovar 6b str. SLCC5334 complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria welshimeri
8.26%	7.13%	91.36%	.	0	38.25%	66.97%	0.13%	11.53%	967.0	0.00e+00	9.876	9.876	15.24	88.04	1543	30	1368	15494	2478	21644	702455	-1	2914007	2753823	2716111	1	0.374	18688	21644	18688	21644	14496	Listeria innocua FSL J1-023	.	tid|702455|NZ_CM001049.1 Listeria innocua FSL J1-023 chromosome, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria innocua
7.61%	6.63%	91.09%	.	0	37.59%	67.27%	0.12%	11.52%	901.2	0.00e+00	10.00	9.478	14.35	111.8	1434	0	1255	15494	2234	21644	882097	-1	2840185	2840154	2783764	1	0.383	18847	21644	18847	21644	14559	Listeria monocytogenes SLCC2376	.	tid|882097|NC_018590.1 Listeria monocytogenes strain SLCC2376, serotype 4c	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria monocytogenes
3.92%	3.40%	88.91%	.	0	34.83%	69.81%	0.12%	10.92%	524.6	0.00e+00	10.23	9.284	7.516	107.7	735	0	602	15494	2200	21644	683837	-1	2797636	2797605	2793139	1	0.374	18759	21644	18759	21644	15110	Listeria seeligeri serovar 1/2b str. SLCC3954	.	tid|683837|NC_013891.1 Listeria seeligeri serovar 1/2b str. SLCC3954 complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria seeligeri
3.75%	3.29%	88.85%	.	0	35.21%	69.08%	0.12%	10.22%	519.6	0.00e+00	10.46	3.152	7.448	109.7	712	0	589	15494	2157	21644	202751	-1	8758651	8758558	2868070	3	0.372	19004	21644	19004	21644	14952	Listeria ivanovii subsp. ivanovii	.	tid|202751|NZ_CP009577.1 Listeria ivanovii subsp. ivanovii strain WSLC 3010, complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria ivanovii;ss:Listeria ivanovii subsp. ivanovii
0.17%	0.16%	79.82%	.	0	45.28%	53.82%	0.08%	3.66%	93.02	0.00e+00	14.22	2.310	0.512	144.8	36	0	0	15494	1498	22076	1497681	-1	17428K	17383K	4519268	266	0.429	22076	21644	22076	21644	11649	Listeria newyorkensis	.	tid|1497681|NZ_BJEY01000001.1 Listeria newyorkensis strain Ln2-1 CONTIG_1, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria newyorkensis
0.22%	0.20%	80.27%	.	0	38.50%	64.17%	0.11%	4.37%	90.65	0.00e+00	15.95	5.281	0.702	175.0	44	0	11	15494	1790	21644	1552123	-1	6925611	6924433	3458451	38	0.422	20145	21644	20145	21644	13888	Listeria booriae	.	tid|1552123|NZ_UGPF01000003.1 Listeria booriae strain NCTC13936, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria booriae
0.19%	0.18%	79.93%	.	0	39.09%	63.26%	0.11%	4.32%	83.66	0.00e+00	15.05	15.05	0.572	141.5	38	0	0	15494	1761	21644	2269046	-1	3576895	3572997	3541545	125	0.429	20340	21644	20340	21644	13693	Listeria sp. SHR_NRA_18	.	tid|2269046|NZ_QPKR01000036.1 Listeria sp. SHR_NRA_18 NODE_36_length_1423_cov_92.6173, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria sp. SHR_NRA_18
0.21%	0.19%	80.07%	.	0	36.20%	66.84%	0.12%	5.91%	82.31	0.00e+00	14.98	14.23	0.614	151.9	41	0	6	15494	1904	21644	1265820	-1	3347833	3345012	3255397	91	0.419	19831	21644	19831	21644	14466	Listeria cornellensis FSL F6-0969	.	tid|1265820|NZ_AODE01000010.1 Listeria cornellensis FSL F6-0969 c9, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria cornellensis
0.20%	0.18%	79.81%	.	0	35.40%	67.98%	0.12%	6.80%	79.14	0.00e+00	15.92	15.76	0.637	178.0	40	0	16	15494	1957	21644	2026604	-1	3180595	3177820	3154794	44	0.436	19578	21644	19578	21644	14713	Listeria costaricensis	.	tid|2026604|NZ_FXUT01000031.1 Listeria costaricensis isolate CLIP201600682, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeria costaricensis
