
Query: ERR13427439_1.fastq.gz	DB: RefSeq	SketchLen: 24132	Seqs: 242397 	Bases: 33994697	gSize: 2377702	GC: 0.501	Quality: 0.8796	AvgCount: 9.534	Depth: 9.533	File: ERR13427439_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
78.82%	53.94%	99.14%	.	0	100%	21.56%	10.58%	4.55%	9819	0.00e+00	11.09	10.13	144.4	11.18	13016	96	1214	3647	2447	24132	767453	-1	2064620	2064589	1911478	1	0.517	16514	24132	16514	24132	5203	Limosilactobacillus fermentum F-6	.	tid|767453|NC_021235.1 Lactobacillus fermentum F-6, complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus fermentum
77.58%	53.17%	99.08%	.	0	100%	22.27%	21.43%	4.83%	9086	0.00e+00	10.61	10.58	136.2	11.52	12831	27	29	37	2442	24132	1581062	-1	1914489	1909498	1909498	110	0.524	16538	24132	16538	24132	5373	Lactobacillus sp. HMSC24D01	.	tid|1581062|NZ_KV789671.1 Lactobacillus sp. HMSC24D01 Scaffold104, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. HMSC24D01
9.69%	6.67%	91.87%	.	0	46.20%	68.22%	65.34%	4.39%	734.7	0.00e+00	2.053	2.047	3.788	4.97	1609	121	1309	1952	2412	24132	1581071	-1	1927473	1925062	1925062	35	0.378	16598	24132	16598	24132	16463	Granulicatella sp. HMSC30F09	.	tid|1581071|NZ_KV786404.1 Granulicatella sp. HMSC30F09 Scaffold0, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae;g:Granulicatella;s:Granulicatella sp. HMSC30F09
9.71%	6.65%	91.87%	.	0	44.71%	69.40%	66.40%	4.66%	711.2	0.00e+00	2.033	2.029	3.752	5.06	1604	102	1297	1952	2496	24132	1581074	-1	1914916	1912392	1895122	37	0.376	16519	24132	16519	24132	16747	Granulicatella sp. HMSC31F03	.	tid|1581074|NZ_KV790860.1 Granulicatella sp. HMSC31F03 Scaffold41, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae;g:Granulicatella;s:Granulicatella sp. HMSC31F03
9.42%	6.47%	91.77%	.	0	45.27%	68.91%	65.81%	4.24%	708.9	0.00e+00	2.045	2.036	3.668	4.94	1562	165	1266	1952	2440	24132	638301	-1	1947166	1922127	1921939	10	0.376	16573	24132	16573	24132	16630	Granulicatella adiacens ATCC 49175	.	tid|638301|NZ_GG694015.1 Granulicatella adiacens ATCC 49175 SCAFFOLD1, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae;g:Granulicatella;s:Granulicatella adiacens
9.03%	6.30%	91.64%	.	0	47.39%	66.96%	63.95%	4.76%	692.5	0.00e+00	2.051	2.020	3.576	5.47	1520	0	1227	1952	2338	24132	1725361	-1	2031571	2029982	2008717	46	0.375	16825	24132	16825	24132	16158	Granulicatella sp. 572.rep1_STHE	.	tid|1725361|NZ_JVBO01000016.1 Granulicatella sp. 572.rep1_STHE 311_44714_1172377_46+,...,292_, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae;g:Granulicatella;s:Granulicatella sp. 572.rep1_STHE
9.03%	6.30%	91.64%	.	0	47.38%	66.97%	63.96%	4.76%	692.4	0.00e+00	2.051	2.022	3.576	5.47	1520	0	1227	1952	2339	24132	1725362	-1	2030278	2028789	2008477	47	0.375	16825	24132	16825	24132	16160	Granulicatella sp. 572.rep2_STHE	.	tid|1725362|NZ_JVBN01000001.1 Granulicatella sp. 572.rep2_STHE 18_1565_284173, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae;g:Granulicatella;s:Granulicatella sp. 572.rep2_STHE
2.09%	1.36%	86.89%	.	0	32.47%	78.90%	10.74%	7.40%	138.6	0.00e+00	13.95	13.75	4.577	27.99	328	12	51	3647	3776	24132	1450649	-1	1641621	1639602	1613889	63	0.481	15678	24132	15678	24132	19041	Limosilactobacillus gorillae	.	tid|1450649|NZ_BCAH01000009.1 Lactobacillus gorillae strain KZ01, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus gorillae
2.31%	1.55%	87.21%	.	0	35.36%	76.31%	75.82%	5.19%	99.70	0.00e+00	2.108	1.984	0.897	9.72	374	46	47	65	2714	24132	1579343	-1	1804345	1801715	1792473	60	0.392	16163	24132	16163	24132	18416	Streptococcus sp. 263_SSPC	.	tid|1579343|NZ_JVNU01000002.1 Streptococcus sp. 263_SSPC 485_267_13898, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus sp. 263_SSPC
0.45%	0.37%	82.60%	.	0	57.54%	52.92%	7.42%	3.34%	88.76	0.00e+00	20.00	9.476	1.780	66.67	89	0	8	3647	1554	24132	1130798	-1	4804279	4803717	3246026	14	0.461	19747	24132	19747	24132	12770	Limosilactobacillus mucosae LM1	.	tid|1130798|NZ_CVQW01000001.1 Lactobacillus mucosae LM1 strain Marseille, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus mucosae
