
Query: SRR27638645.fastq.gz	DB: RefSeq	SketchLen: 21493	Seqs: 8725 	Bases: 80631771	gSize: 2096802	GC: 0.390	Quality: 0.9697	AvgCount: 37.347	Depth: 37.347	File: SRR27638645.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
99.96%	77.49%	100.00%	99.05%	1581	100%	0.20%	0.10%	0.07%	16657	0.00e+00	40.17	37.91	669.0	9.97	16654	0	9429	9520	1323	21493	548485	-1	2067914	2067697	1942937	7	0.389	16660	21493	16660	21493	44	Limosilactobacillus reuteri MM4-1A	.	tid|548485|NZ_ACGX02000001.1 Lactobacillus reuteri MM4-1A Contig21693, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus reuteri
34.74%	27.38%	96.24%	99.05%	1581	66.51%	47.59%	43.42%	0.07%	3010	0.00e+00	39.79	39.32	234.1	16.70	5884	0	0	2	1265	21493	2042029	-1	2099290	2088626	2046192	344	0.384	16938	21493	16938	21493	10228	Lactobacillus sp. UMNPBX18	.	tid|2042029|NZ_PCYS01000260.1 Lactobacillus sp. UMNPBX18 NODE_260_length_574_cov_101.191, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX18
35.03%	27.41%	96.27%	99.05%	1581	66.12%	48.25%	43.83%	0.07%	2993	0.00e+00	39.83	39.39	234.7	16.74	5892	0	0	2	1279	21493	2042034	-1	2042145	2034705	2012208	240	0.388	16822	21493	16822	21493	10371	Lactobacillus sp. UMNPBX13	.	tid|2042034|NZ_PCYX01000211.1 Lactobacillus sp. UMNPBX13 NODE_211_length_358_cov_39.9901, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX13
35.16%	27.46%	96.28%	99.12%	1468	65.84%	48.59%	44.02%	0.07%	2986	0.00e+00	39.49	38.77	233.0	16.67	5901	0	0	2	1285	21493	2042040	-1	2030867	2025866	1998589	156	0.388	16783	21493	16783	21493	10443	Lactobacillus sp. UMNPBX7	.	tid|2042040|NZ_PCZC01000010.1 Lactobacillus sp. UMNPBX7 SNF2W3B2M2S3111_91_84, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX7
34.68%	27.26%	96.24%	98.93%	1582	65.96%	48.15%	48.15%	0.07%	2975	0.00e+00	40.23	37.46	235.8	16.82	5860	0	0	0	1273	21493	2291323	-1	2316838	2316651	2028533	5	0.390	16895	21493	16895	21493	10349	Lactobacillaceae bacterium	.	tid|2291323|NZ_CABKON010000002.1 Lactobacillaceae bacterium isolate MGYG-HGUT-01336, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;s:Lactobacillaceae bacterium
34.86%	27.31%	96.25%	.	0	65.70%	48.52%	43.90%	0.07%	2969	0.00e+00	39.37	38.86	231.1	16.58	5870	0	0	2	1282	21493	2042044	-1	2063024	2057446	2009670	167	0.387	16840	21493	16840	21493	10429	Lactobacillus sp. UMNPBX3	.	tid|2042044|NZ_PCZG01000025.1 Lactobacillus sp. UMNPBX3 MOF2W3B1C8S14128_90_79, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX3
35.02%	27.34%	96.27%	99.12%	1581	65.50%	48.87%	44.12%	0.07%	2962	0.00e+00	39.65	39.31	233.0	16.55	5876	0	0	2	1288	21493	2042037	-1	2028849	2021254	1994367	245	0.389	16777	21493	16777	21493	10504	Lactobacillus sp. UMNPBX10	.	tid|2042037|NZ_PCZL01000222.1 Lactobacillus sp. UMNPBX10 NODE_224_length_330_cov_70.1055, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. UMNPBX10
1.03%	0.83%	84.76%	96.35%	1580	37.94%	69.18%	0.09%	0.07%	170.4	0.00e+00	74.08	38.94	13.26	36.51	179	0	47	9520	1186	21493	1633	-1	3774584	3770740	2262622	124	0.406	17461	21493	17461	21493	14868	Limosilactobacillus vaginalis	.	tid|1633|NZ_CP045240.1 Lactobacillus vaginalis strain LV515 chromosome, complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus vaginalis
0.75%	0.56%	83.71%	96.41%	1580	30.23%	77.55%	0.15%	0.35%	107.3	0.00e+00	86.92	60.08	10.43	51.95	120	0	16	9520	2799	21493	104955	-1	1752928	1752897	1709940	1	0.426	15962	21493	15962	21493	16668	Limosilactobacillus frumenti	.	tid|104955|NZ_CP044534.1 Lactobacillus frumenti strain LF145 chromosome, complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus frumenti
0.20%	0.19%	80.82%	94.27%	1581	55.91%	39.49%	0.07%	0.05%	101.7	0.00e+00	80.05	40.29	3.522	62.27	44	1	12	9520	688	23260	97478	-1	20411K	20381K	5276745	397	0.467	23260	21493	23260	21493	8488	Limosilactobacillus mucosae	.	tid|97478|NZ_CABFNH010000015.1 Lactobacillus mucosae strain INIA P508 isolate INIA P508, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus mucosae
