ref_id	ref_name	ref_description	ref_path	ref_ncbi_accession	ref_ncbi_query	ref_ncbi_query_max	ref_primary_usage	ref_contextual_usage	ref_color_by
GCF_003626515_1	Streptococcus chosunense	Streptococcus chosunense (GCF_003626515.1; T; RS)		GCF_003626515.1			optional	optional	
GCF_003627155_1	Streptococcus gwangjuense	Streptococcus gwangjuense (GCF_003627155.1; T; RS)		GCF_003627155.1			optional	optional	
GCF_000148585_2	Streptococcus mitis NCTC 12261	Streptococcus mitis (GCF_000148585.2; T; RS)		GCF_000148585.2			optional	optional	
GCF_900637025_1	Streptococcus oralis ATCC 35037	Streptococcus oralis (GCF_900637025.1; T; RS)		GCF_900637025.1			optional	optional	
GCF_001457635_1	Streptococcus pneumoniae	Streptococcus pneumoniae (GCF_001457635.1; T; RS)		GCF_001457635.1			optional	optional	
GCF_002087075_1	Streptococcus pseudopneumoniae ATCC BAA-960 = CCUG 49455	Streptococcus pseudopneumoniae (GCF_002087075.1; T; RS)		GCF_002087075.1			optional	optional	
GCF_006385785_1	Streptococcus shenyangsis	Streptococcus shenyangsis (GCF_006385785.1; T; RS)		GCF_006385785.1			optional	optional	
GCF_006385165_1	Streptococcus symci	Streptococcus symci (GCF_006385165.1; T; RS)		GCF_006385165.1			optional	optional	
GCF_900475715_1	Streptococcus gallolyticus	Streptococcus gallolyticus (GCF_900475715.1; T; RS)		GCF_900475715.1			optional	optional	
GCF_003086355_1	Streptococcus chenjunshii	Streptococcus chenjunshii (GCF_003086355.1; T; RS)		GCF_003086355.1			optional	optional	
GCF_900187085_1	Streptococcus merionis	Streptococcus merionis (GCF_900187085.1; T; RS)		GCF_900187085.1			optional	optional	
GCF_006965445_1	Lactococcus protaetiae	Lactococcus protaetiae (GCF_006965445.1; T; RS)		GCF_006965445.1			optional	optional	
GCF_014202895_1	Lactovum miscens	Lactovum miscens (GCF_014202895.1; T; RS)		GCF_014202895.1			optional	optional	
GCF_001832905_1	Floricoccus tropicus	Floricoccus tropicus (GCF_001832905.1; T; RS)		GCF_001832905.1			optional	optional	
