
Query: ERR3283837_1.fastq.gz	DB: RefSeq	SketchLen: 24793	Seqs: 699220 	Bases: 105582220	gSize: 2175608	GC: 0.398	Quality: 0.9592	AvgCount: 36.089	Depth: 36.089	File: ERR3283837_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
96.28%	65.62%	99.86%	.	0	100%	3.69%	0.04%	0.19%	15699	0.00e+00	36.69	35.46	596.9	225.8	16268	0	14119	15721	818	24793	760748	-1	2165380	2165008	2048325	12	0.396	16896	24793	16896	24793	914	Streptococcus pneumoniae GA05245	.	tid|760748|NZ_AILL01000005.1 Streptococcus pneumoniae GA05245 GA05245.contig.4, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus pneumoniae
31.37%	21.47%	95.89%	.	0	76.03%	47.96%	0.04%	0.19%	3755	0.00e+00	36.96	35.75	196.8	279.5	5324	0	4413	15721	818	24793	1415760	-1	2146559	2143359	2054115	103	0.399	16971	24793	16971	24793	11890	Streptococcus pseudopneumoniae 1321	.	tid|1415760|NZ_AYRP01000013.1 Streptococcus pseudopneumoniae 1321 Spspn_1321contig00013, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus pseudopneumoniae
20.26%	14.07%	94.37%	.	0	67.09%	53.39%	0.04%	0.18%	2378	0.00e+00	36.88	36.37	128.7	291.4	3489	0	2782	15721	796	24793	2250596	-1	2217677	2215672	2148746	51	0.400	17225	24793	17225	24793	13236	Streptococcus sp. 596553	.	tid|2250596|NZ_OXCQ01000004.1 Streptococcus sp. 596553, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus sp. 596553
20.72%	13.76%	94.46%	.	0	61.80%	58.96%	0.12%	0.42%	2159	0.00e+00	37.04	35.81	126.4	279.9	3412	12	2724	15721	1063	24793	1008453	-1	1943752	1942698	1877859	34	0.403	16467	24793	16467	24793	14617	Streptococcus mitis SK1080	.	tid|1008453|NZ_AFQV01000031.1 Streptococcus mitis SK1080 ctg1129645366106, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus mitis
15.00%	10.40%	93.35%	.	0	61.20%	57.56%	0.04%	0.18%	1724	0.00e+00	36.79	35.94	94.87	294.3	2579	1	1973	15721	801	24793	563038	-1	2207013	2196035	2129851	32	0.392	17193	24793	17193	24793	14271	Streptococcus sp. M334	.	tid|563038|NZ_GL732489.1 Streptococcus sp. M334 supercont1.4, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus sp. M334
15.58%	10.54%	93.48%	.	0	58.11%	60.70%	0.05%	0.21%	1664	0.00e+00	36.90	36.24	96.43	293.7	2613	0	2056	15721	863	24793	2589786	-1	2023003	2022136	1973827	24	0.399	16767	24793	16767	24793	15050	Streptococcus shenyangsis	.	tid|2589786|NZ_VFSH01000004.1 Streptococcus sp. D19 Scaffold4, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus shenyangsis
15.56%	10.52%	93.48%	.	0	58.06%	60.74%	0.05%	0.21%	1661	0.00e+00	36.84	36.18	96.09	293.8	2608	0	2052	15721	863	24793	2589787	-1	2021360	2020513	1973007	26	0.399	16764	24793	16764	24793	15060	Streptococcus sp. D2	.	tid|2589787|NZ_VFSI01000014.1 Streptococcus sp. D2 Scaffold14, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus sp. D2
13.76%	9.65%	93.06%	.	0	61.64%	56.78%	0.04%	0.17%	1637	0.00e+00	36.64	36.15	87.64	292.5	2392	2	1795	15721	778	24793	1979528	-1	2255507	2242332	2201612	425	0.393	17386	24793	17386	24793	14077	Streptococcus sp. KR	.	tid|1979528|NZ_NGVM01000134.1 Streptococcus sp. KR NODE_135_length_479_cov_0.896226, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus sp. KR
6.05%	4.74%	92.08%	.	0	66.83%	14.73%	0.01%	0.08%	1620	0.00e+00	36.39	22.50	54.55	275.8	1499	0	958	15721	245	31632	1458253	-1	21476K	21463K	12882K	288	0.409	31632	24793	31632	24793	3652	Streptococcus oralis subsp. dentisani	.	tid|1458253|NZ_RJPH01000039.1 Streptococcus oralis subsp. dentisani strain BCA2 D8805_contig039, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus oralis;ss:Streptococcus oralis subsp. dentisani
13.21%	9.23%	92.91%	.	0	61.48%	57.05%	0.04%	0.18%	1574	0.00e+00	37.16	36.02	85.01	297.9	2288	0	1712	15721	777	24793	2069308	-1	2270705	2262631	2197177	41	0.393	17320	24793	17320	24793	14145	Streptococcus sp. UMB0029	.	tid|2069308|NZ_PNGD01000025.1 Streptococcus sp. UMB0029 ERR1203613.17957_1_25.25, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcus sp. UMB0029
