
Query: ERR5421720.fastq.gz	DB: RefSeq	SketchLen: 54343	Seqs: 13996 	Bases: 82642464	gSize: 5592280	GC: 0.581	Quality: 0.1515	AvgCount: 2.851	Depth: 2.656	File: ERR5421720.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
25.32%	14.60%	96.31%	.	0	100%	1.34%	1.33%	0.18%	9198	0.00e+00	2.779	2.646	23.46	1.06	7935	7810	7840	7842	5323	54343	70448	-1	13032K	13007K	12494K	22	0.592	31333	54343	31333	54343	727	Ostreococcus tauri	.	tid|70448|NC_014427.2 Ostreococcus tauri WGS project CAID00000000 data, contig chromosome 02, whole genome shotgun sequence	sk:Eukaryota;k:Viridiplantae;p:Chlorophyta;c:Mamiellophyceae;o:Mamiellales;f:Bathycoccaceae;g:Ostreococcus;s:Ostreococcus tauri
4.06%	1.63%	88.95%	69.37%	1473	100%	15.71%	15.30%	14.69%	581.5	0.00e+00	1.808	1.803	1.918	6.49	886	59	730	919	18555	54343	215743	-1	4381426	4381333	4375664	3	0.609	21832	54343	21832	54343	8537	Roseovarius mucosus	.	tid|215743|NZ_CP020475.1 Roseovarius mucosus strain SMR3 plasmid pSMR3-1, complete sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius mucosus
3.88%	1.54%	88.80%	69.37%	1473	100%	15.89%	15.32%	14.81%	538.8	0.00e+00	1.807	1.805	1.807	6.41	835	0	716	919	19519	54343	2203213	-1	4203542	4203480	4166063	2	0.610	21515	54343	21515	54343	8636	Roseovarius sp. AK1035	.	tid|2203213|NZ_CP030100.1 Roseovarius sp. AK1035 plasmid unnamed, complete sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. TM1035
3.69%	1.52%	88.65%	69.37%	1473	100%	15.73%	15.28%	14.78%	526.5	0.00e+00	1.815	1.806	1.790	7.21	825	0	661	919	17438	54343	2038395	-1	4686682	4684010	4668793	17	0.609	22370	54343	22370	54343	8546	Roseovarius sp. EC-SD190	.	tid|2038395|NZ_LR701464.1 Roseovarius sp. EC-SD190 isolate RV420, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. EC-SD190
3.68%	1.52%	88.64%	69.37%	1473	100%	15.73%	15.28%	14.78%	526.0	0.00e+00	1.815	1.806	1.788	7.21	824	0	661	919	17436	54343	2038394	-1	4686006	4684217	4669993	16	0.609	22374	54343	22374	54343	8547	Roseovarius sp. EC-HK134	.	tid|2038394|NZ_LR701540.1 Roseovarius sp. EC-HK134 isolate RV134, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. EC-HK134
0.11%	0.06%	78.79%	.	0	100%	15.88%	1.34%	14.55%	94.56	7.87e-295	2.797	2.326	0.104	2.54	35	2	32	7842	5443	54343	436017	-1	13204K	13204K	12289K	21	0.604	31087	54343	31087	54343	8632	Ostreococcus lucimarinus CCE9901	.	tid|436017|NC_009363.1 Ostreococcus lucimarinus CCE9901 chromosome 9, complete sequence	sk:Eukaryota;k:Viridiplantae;p:Chlorophyta;c:Mamiellophyceae;o:Mamiellales;f:Bathycoccaceae;g:Ostreococcus;s:Ostreococcus sp. 'lucimarinus'
0.30%	0.12%	80.95%	69.59%	1475	100%	17.11%	15.28%	14.78%	52.94	0.00e+00	1.827	1.827	0.146	12.85	67	1	43	919	17369	54343	314264	-1	4770736	4761485	4692104	6	0.608	22400	54343	22400	54343	9300	Roseovarius sp. 217	.	tid|314264|NZ_AAMV01000034.1 Roseovarius sp. 217 1099463000259, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. 217
0.22%	0.09%	80.01%	69.34%	1474	100%	17.05%	15.26%	14.77%	40.76	0.00e+00	1.932	1.815	0.113	27.68	50	0	16	919	16334	54343	1354722	-1	5113782	5113534	5000516	8	0.607	22912	54343	22912	54343	9267	Roseovarius sp. MCTG156(2b)	.	tid|1354722|NZ_JQLS01000003.1 Roseovarius sp. MCTG156(2b) U739DRAFT_scf7180000000018_quiver.3_C, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. MCTG156(2b)
0.32%	0.12%	80.78%	70.55%	1494	100%	17.41%	17.30%	14.82%	32.44	0.00e+00	1.904	1.819	0.141	10.63	63	24	43	83	24159	54343	1806885	-1	3339521	3339490	3312707	1	0.567	19887	54343	19887	54343	9460	Sphingorhabdus sp. M41	.	tid|1806885|NZ_CP014545.1 Sphingorhabdus sp. M41, complete genome	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:Sphingorhabdus;s:Sphingorhabdus sp. M41
0.24%	0.10%	79.98%	70.66%	1494	100%	17.35%	17.24%	14.79%	25.94	0.00e+00	1.993	1.956	0.120	13.13	52	17	34	83	20107	54343	2077182	-1	4060755	4060693	4041452	2	0.579	21294	54343	21294	54343	9427	Sphingorhabdus sp. YGSMI21	.	tid|2077182|NZ_CP022548.1 Sphingorhabdus sp. YGSMI21 chromosome, complete genome	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:Sphingorhabdus;s:Sphingorhabdus sp. YGSMI21
